Region,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2024
Other,Torquay,A Crimes against the person,Other crimes against the person,8
Other,East Geelong,A Crimes against the person,Other crimes against the person,8
Metro Inner West,Ardeer,B Property and deception offences,B20 Property damage,8
Metro Outer South,Lyndhurst,C Drug offences,C10 Drug dealing and trafficking,8
Metro Outer South,Officer,A Crimes against the person,A50 Robbery,8
Metro Outer North,Diggers Rest,E Justice procedures offences,E10 Justice procedures,8
Other,White Hills,A Crimes against the person,Other crimes against the person,8
Other,Ballarat East,E Justice procedures offences,E10 Justice procedures,8
Other,Mitchell Park,E Justice procedures offences,E10 Justice procedures,8
Metro Inner West,Derrimut,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",8
,Bungaree,B Property and deception offences,B40 Theft,8
,Connewarre,B Property and deception offences,B40 Theft,8
Other,Warrenheip,E Justice procedures offences,E20 Breaches of orders,8
Metro Outer East,Belgrave,A Crimes against the person,Other crimes against the person,8
Metro Inner South,Black Rock,B Property and deception offences,B50 Deception,8
,Dalyston,E Justice procedures offences,E20 Breaches of orders,8
Metro Inner North,Thornbury,A Crimes against the person,A50 Robbery,8
Other,New Gisborne,B Property and deception offences,B20 Property damage,8
,Orrvale,E Justice procedures offences,E20 Breaches of orders,8
,Bonshaw,A Crimes against the person,A20 Assault and related offences,8
Metro Outer West,Melton West,C Drug offences,C10 Drug dealing and trafficking,8
Metro Outer South,Koo Wee Rup,A Crimes against the person,Other crimes against the person,8
Metro Outer South,Rye,C Drug offences,C10 Drug dealing and trafficking,8
Other,Heyfield,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",8
Metro Inner North,Coburg North,E Justice procedures offences,E10 Justice procedures,8
Metro Outer North,Diamond Creek,B Property and deception offences,B10 Arson,8
Metro Inner East,Vermont,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",8
Other,Thornton,A Crimes against the person,A20 Assault and related offences,8
Metro Inner,Flemington,A Crimes against the person,Other crimes against the person,8
,Croydon Hills,A Crimes against the person,A20 Assault and related offences,8
Metro Inner East,Ashburton,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",8
Other,Kialla,A Crimes against the person,Other crimes against the person,8
Other,Elliminyt,B Property and deception offences,B30 Burglary/Break and enter,8
Metro Inner,North Melbourne CBD,B Property and deception offences,B10 Arson,8
Metro Outer South,Aspendale Gardens,B Property and deception offences,B20 Property damage,8
Other,Drysdale,E Justice procedures offences,E20 Breaches of orders,8
Other,Frankston North,A Crimes against the person,A50 Robbery,8
Other,Stratford,E Justice procedures offences,E20 Breaches of orders,8
Metro Inner East,Croydon,A Crimes against the person,A50 Robbery,8
Metro Outer West,Fraser Rise,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",8
Metro Inner,Fitzroy North,E Justice procedures offences,E10 Justice procedures,8
Other,Irymple,C Drug offences,C30 Drug use and possession,8
,South Dudley,E Justice procedures offences,E20 Breaches of orders,8
,Wonga Park,B Property and deception offences,B30 Burglary/Break and enter,8
Metro Outer South,Hampton Park,C Drug offences,C10 Drug dealing and trafficking,8
Metro Outer South,Clayton South,E Justice procedures offences,E10 Justice procedures,8
Other,Armstrong Creek,C Drug offences,C30 Drug use and possession,8
Other,Armstrong Creek,A Crimes against the person,Other crimes against the person,8
Metro Outer North,Jacana,B Property and deception offences,B50 Deception,8
Other,Beechworth,B Property and deception offences,B30 Burglary/Break and enter,8
Other,Robinvale,B Property and deception offences,B50 Deception,8
,Tallarook,E Justice procedures offences,E20 Breaches of orders,8
Other,Longwarry,B Property and deception offences,B20 Property damage,8
Metro Outer South,Endeavour Hills,A Crimes against the person,A50 Robbery,8
Metro Outer South,Lyndhurst,A Crimes against the person,A80 Dangerous and negligent acts endangering people,8
Other,Kerang,D Public order and security offences,D10 Weapons and explosives offences,8
,Shepparton North,B Property and deception offences,B20 Property damage,8
Metro Outer South,Narre Warren South,A Crimes against the person,A50 Robbery,8
,Warneet,B Property and deception offences,B40 Theft,8
Other,West Wodonga,C Drug offences,C10 Drug dealing and trafficking,8
Metro Inner West,Keilor Park,B Property and deception offences,B20 Property damage,8
Metro Outer West,Point Cook,B Property and deception offences,B10 Arson,8
Other,Avenel,B Property and deception offences,B40 Theft,8
,Research,B Property and deception offences,B40 Theft,8
Other,Golden Square,D Public order and security offences,D20 Disorderly and offensive conduct,8
Other,Thomson,B Property and deception offences,B50 Deception,8
,Byrneside,B Property and deception offences,B40 Theft,8
Other,Lucas,A Crimes against the person,A20 Assault and related offences,8
Metro Outer North,Craigieburn,D Public order and security offences,D30 Public nuisance offences,8
Other,Cobram,E Justice procedures offences,E10 Justice procedures,8
,Springhurst,B Property and deception offences,B40 Theft,8
Other,Beechworth,B Property and deception offences,B50 Deception,8
Other,Darley,B Property and deception offences,B50 Deception,8
,Kaniva,B Property and deception offences,B20 Property damage,8
,Lismore,B Property and deception offences,B30 Burglary/Break and enter,8
Metro Inner West,Airport West,E Justice procedures offences,E10 Justice procedures,8
,Ardmona,E Justice procedures offences,E20 Breaches of orders,8
Metro Inner West,Braybrook,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",8
Metro Outer South,Moorabbin Airport,B Property and deception offences,B30 Burglary/Break and enter,8
,Baranduda,A Crimes against the person,A20 Assault and related offences,8
Metro Inner West,Keilor Lodge,A Crimes against the person,A20 Assault and related offences,8
Other,Black Hill,E Justice procedures offences,E20 Breaches of orders,8
Metro Inner East,Huntingdale,A Crimes against the person,A20 Assault and related offences,8
Other,Mooroopna,B Property and deception offences,B10 Arson,8
Other,Woodend,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",8
Other,Belmont,B Property and deception offences,B10 Arson,8
,Merino,B Property and deception offences,B20 Property damage,8
Metro Inner East,Wantirna,C Drug offences,C20 Cultivate or manufacture drugs,8
Metro Outer North,Whittlesea,D Public order and security offences,D10 Weapons and explosives offences,8
Metro Inner West,Travancore,B Property and deception offences,B20 Property damage,8
Metro Outer South,Crib Point,A Crimes against the person,A20 Assault and related offences,8
Other,Churchill,E Justice procedures offences,E10 Justice procedures,8
,Hesse,B Property and deception offences,B40 Theft,8
,Stanhope,E Justice procedures offences,E20 Breaches of orders,8
Metro Inner South,Hampton East,A Crimes against the person,Other crimes against the person,8
Metro Outer South,Doveton,B Property and deception offences,B10 Arson,8
,Strathmore Heights,B Property and deception offences,B40 Theft,8
Metro Inner East,Box Hill North,A Crimes against the person,Other crimes against the person,8
Other,Torquay,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",8
Metro Outer South,Somerville,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",8
Metro Outer South,Pearcedale,B Property and deception offences,B20 Property damage,8
Metro Inner South,Beaumaris,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",8
,Langwarrin South,B Property and deception offences,B20 Property damage,8
Metro Inner East,Boronia,D Public order and security offences,D20 Disorderly and offensive conduct,8
Metro Inner East,Malvern East,D Public order and security offences,D20 Disorderly and offensive conduct,8
Metro Outer East,Belgrave,C Drug offences,C30 Drug use and possession,8
Metro Outer North,Mickleham,A Crimes against the person,A80 Dangerous and negligent acts endangering people,8
Metro Inner North,Watsonia,A Crimes against the person,Other crimes against the person,8
,Nicholson,A Crimes against the person,A20 Assault and related offences,8
,Eynesbury,A Crimes against the person,A20 Assault and related offences,8
,Tarwin Lower,E Justice procedures offences,E20 Breaches of orders,8
Other,Beveridge,E Justice procedures offences,E10 Justice procedures,8
Metro Outer South,Mornington,A Crimes against the person,A50 Robbery,8
Metro Inner East,Kew East,B Property and deception offences,B20 Property damage,8
Metro Inner East,Blackburn,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",8
,Somers,B Property and deception offences,B30 Burglary/Break and enter,8
Metro Outer South,Mornington,B Property and deception offences,B10 Arson,8
,Leneva,B Property and deception offences,B40 Theft,8
Metro Inner East,Surrey Hills,A Crimes against the person,Other crimes against the person,8
,Wesburn,B Property and deception offences,B40 Theft,8
Metro Outer West,Thornhill Park,A Crimes against the person,Other crimes against the person,8
,Devon Meadows,B Property and deception offences,B30 Burglary/Break and enter,8
Metro Outer South,Berwick,D Public order and security offences,D20 Disorderly and offensive conduct,8
,Hopetoun,A Crimes against the person,A20 Assault and related offences,8
Metro Outer East,Warburton,D Public order and security offences,D10 Weapons and explosives offences,8
Metro Inner West,Cairnlea,C Drug offences,C20 Cultivate or manufacture drugs,8
,Waldara,B Property and deception offences,B30 Burglary/Break and enter,8
Other,Stawell,B Property and deception offences,B50 Deception,8
Metro Inner North,Coburg,C Drug offences,C20 Cultivate or manufacture drugs,8
Metro Inner,Collingwood,C Drug offences,C10 Drug dealing and trafficking,8
Metro Outer West,Wyndham Vale,C Drug offences,C10 Drug dealing and trafficking,8
Other,Cape Paterson,E Justice procedures offences,E20 Breaches of orders,8
Metro Outer West,Harkness,E Justice procedures offences,E10 Justice procedures,8
Metro Outer West,Truganina,D Public order and security offences,D20 Disorderly and offensive conduct,8
Other,Buninyong,A Crimes against the person,Other crimes against the person,8
Metro Inner East,Balwyn North,A Crimes against the person,A80 Dangerous and negligent acts endangering people,8
Other,Springvale South,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",8
Metro Outer South,Clayton South,D Public order and security offences,D20 Disorderly and offensive conduct,8
Metro Inner South,Sandringham,E Justice procedures offences,E10 Justice procedures,8
,Smythesdale,B Property and deception offences,B30 Burglary/Break and enter,8
Metro Inner East,Blackburn North,B Property and deception offences,B20 Property damage,8
Metro Inner West,Yarraville,C Drug offences,C10 Drug dealing and trafficking,8
Metro Outer South,Clyde North,A Crimes against the person,A80 Dangerous and negligent acts endangering people,8
Metro Inner West,Ascot Vale,A Crimes against the person,A80 Dangerous and negligent acts endangering people,8
Metro Inner West,Footscray,C Drug offences,C10 Drug dealing and trafficking,8
