Region,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2024
Metro Inner East,Ashwood,B Property and deception offences,B40 Theft,203
Metro Inner West,Keilor East,B Property and deception offences,B40 Theft,203
Other,Seaford,B Property and deception offences,B30 Burglary/Break and enter,203
Metro Inner East,Wheelers Hill,B Property and deception offences,B40 Theft,202
Other,Bairnsdale,A Crimes against the person,A20 Assault and related offences,202
Metro Inner North,Heidelberg West,B Property and deception offences,B40 Theft,202
Other,Bendigo,A Crimes against the person,A20 Assault and related offences,201
Metro Inner East,Boronia,E Justice procedures offences,E20 Breaches of orders,200
Metro Inner East,Box Hill,B Property and deception offences,B30 Burglary/Break and enter,200
Metro Inner,South Wharf,B Property and deception offences,B40 Theft,199
Other,Warrnambool,B Property and deception offences,B20 Property damage,199
Metro Outer North,Epping,B Property and deception offences,B50 Deception,197
Metro Inner West,Keilor Downs,B Property and deception offences,B40 Theft,196
Metro Outer West,Truganina,A Crimes against the person,A20 Assault and related offences,196
Metro Outer North,Eltham,B Property and deception offences,B40 Theft,196
Metro Outer South,Berwick,B Property and deception offences,B20 Property damage,195
Metro Inner,Collingwood,B Property and deception offences,B30 Burglary/Break and enter,195
Other,Wodonga,B Property and deception offences,B20 Property damage,195
Metro Outer West,Tarneit,E Justice procedures offences,E20 Breaches of orders,195
Metro Inner,South Melbourne CBD,A Crimes against the person,A20 Assault and related offences,194
Other,Carrum Downs,E Justice procedures offences,E20 Breaches of orders,194
Metro Outer South,Cheltenham,B Property and deception offences,B30 Burglary/Break and enter,194
Metro Outer South,Narre Warren,E Justice procedures offences,E20 Breaches of orders,194
Metro Inner,Fitzroy,B Property and deception offences,B30 Burglary/Break and enter,194
Metro Outer South,Mordialloc,B Property and deception offences,B40 Theft,193
Metro Inner,Balaclava,B Property and deception offences,B40 Theft,192
Metro Outer South,Cheltenham,B Property and deception offences,B20 Property damage,192
Metro Inner East,Ashburton,B Property and deception offences,B40 Theft,192
Metro Outer East,Chirnside Park,B Property and deception offences,B40 Theft,191
Other,Drouin,B Property and deception offences,B40 Theft,191
Other,Drouin,E Justice procedures offences,E20 Breaches of orders,190
Other,Echuca,B Property and deception offences,B30 Burglary/Break and enter,190
Metro Outer West,Tarneit,B Property and deception offences,B30 Burglary/Break and enter,189
Metro Inner East,Prahran,B Property and deception offences,B30 Burglary/Break and enter,189
Other,Norlane,B Property and deception offences,B30 Burglary/Break and enter,188
Other,Newcomb,B Property and deception offences,B40 Theft,188
Metro Outer South,Berwick,E Justice procedures offences,E20 Breaches of orders,187
Metro Inner East,Box Hill South,B Property and deception offences,B40 Theft,187
Other,Corio,B Property and deception offences,B20 Property damage,187
Metro Outer North,Broadmeadows,B Property and deception offences,B20 Property damage,187
Metro Inner,South Yarra,B Property and deception offences,B20 Property damage,187
Metro Outer West,Melton,E Justice procedures offences,E20 Breaches of orders,187
Metro Outer South,Clyde North,A Crimes against the person,A20 Assault and related offences,186
Other,Wangaratta,A Crimes against the person,A20 Assault and related offences,186
Metro Outer North,Sunbury,B Property and deception offences,B20 Property damage,186
Metro Inner North,Coburg,E Justice procedures offences,E20 Breaches of orders,185
Metro Inner North,Bundoora,E Justice procedures offences,E20 Breaches of orders,185
Other,Seymour,E Justice procedures offences,E20 Breaches of orders,185
Metro Inner East,Bayswater North,B Property and deception offences,B40 Theft,185
Metro Inner,Southbank,B Property and deception offences,B50 Deception,184
Metro Outer South,Cranbourne,B Property and deception offences,B20 Property damage,184
Metro Inner South,Brighton,B Property and deception offences,B30 Burglary/Break and enter,184
Metro Inner West,Laverton,B Property and deception offences,B40 Theft,183
Metro Outer South,Noble Park North,B Property and deception offences,B40 Theft,183
Other,Benalla,B Property and deception offences,B40 Theft,183
Other,Wonthaggi,B Property and deception offences,B40 Theft,183
Metro Inner North,Glenroy,A Crimes against the person,A20 Assault and related offences,182
Other,Mildura,E Justice procedures offences,E10 Justice procedures,182
Metro Inner East,Doncaster East,B Property and deception offences,B30 Burglary/Break and enter,182
Metro Outer South,Cheltenham,E Justice procedures offences,E20 Breaches of orders,181
Metro Outer West,Truganina,B Property and deception offences,B30 Burglary/Break and enter,180
Metro Outer South,Rye,B Property and deception offences,B40 Theft,180
Metro Inner East,Prahran,B Property and deception offences,B50 Deception,179
Other,Frankston,C Drug offences,C30 Drug use and possession,179
Metro Inner,Southbank,B Property and deception offences,B30 Burglary/Break and enter,179
Other,Swan Hill,A Crimes against the person,A20 Assault and related offences,179
Other,Torquay,B Property and deception offences,B40 Theft,179
Other,Colac,E Justice procedures offences,E20 Breaches of orders,179
